,ÁVal,MMPP,De fecha,A fecha,Stock inicial,Total ctd.entrada mcía.,Total cantidades salida,Stock de cierre,UMB,Valor inicial,  Total valores entrada,   Total valores salida,Valor final,Mon.,Material,días_mes
0,3,mmpp_1,2017-01-01,2017-01-31,0.0,0.0,0,0.0,UN,"             24.128,00",0.0,0,"             24.128,00",EUR,,31
1,2250,mmpp_2,2017-01-01,2017-01-31,0.0,0.0,0,0.0,KG,"            115.859,70",0.0,0,"            115.859,70",EUR,,31
2,2,mmpp_3,2017-01-01,2017-01-31,14876.483,23516.429,"            20.882,429",17510.483,KG,"             50.550,51",35383.25,"             27.884,51-","             43.051,77",EUR,,31
3,3,mmpp_3,2017-01-01,2017-01-31,14545.0,21444.956,"            22.829,956",13160.0,KG,"            491.125,56",35960.84,"             26.403,96-","            481.568,68",EUR,,31
4,2250,mmpp_3,2017-01-01,2017-01-31,0.0,0.0,0,0.0,KG,0,0.0,0,0,EUR,,31
5,2,mmpp_4,2017-01-01,2017-01-31,270.0,0.0,0,270.0,KG,0,210.6,"                210,60-",0,EUR,,31
6,3,mmpp_4,2017-01-01,2017-01-31,10830.0,22629.916,"            14.439,916",19020.0,KG,"          1.443.009,09",209767.98,"             79.712,90-","          1.312.954,01",EUR,,31
7,3,mmpp_5,2017-01-01,2017-01-31,7679.0,9753.796,"            12.685,996",4746.8,KG,"            395.690,87",26662.19,"             26.228,08-","            395.256,76",EUR,,31
8,2,mmpp_6,2017-01-01,2017-01-31,17628.0,3097.0,                 8.669,12056.0,KG,"            157.348,10",3443.5,"              7.958,36-","            161.862,96",EUR,,31
9,2,mmpp_7,2017-01-01,2017-01-31,718888.0,1958847.112,"         1.924.718,112",753017.0,KG,"         62.687.628,28",3779831.64,"          2.267.135,17-","         61.174.931,81",EUR,,31
10,2,mmpp_8,2017-01-01,2017-01-31,0.0,0.0,0,0.0,KG,0,0.0,0,0,EUR,,31
11,3,mmpp_8,2017-01-01,2017-01-31,29200.0,0.0,0,29200.0,KG,"             92.860,30",839.58,"                839,58-","             92.860,30",EUR,,31
12,2,mmpp_9,2017-01-01,2017-01-31,12.0,0.0,0,12.0,KG,0,5.93,"                  5,93-",0,EUR,,31
13,3,mmpp_9,2017-01-01,2017-01-31,54000.0,126574.953,"           115.574,953",65000.0,KG,"          2.123.467,80",253779.48,"            159.164,78-","          2.028.853,10",EUR,,31
14,2,mmpp_10,2017-01-01,2017-01-31,15256.0,60762.605,"            51.527,605",24491.0,KG,"            556.548,81",116320.88,"             79.405,87-","            519.633,80",EUR,,31
15,3,mmpp_10,2017-01-01,2017-01-31,0.0,0.0,0,0.0,KG,0,0.0,0,0,EUR,,31
16,2,mmpp_11,2017-01-01,2017-01-31,2950.0,3481.524,"             3.331,524",3100.0,KG,"             20.342,93",6094.99,"              4.722,32-","             18.970,26",EUR,,31
17,2,mmpp_12,2017-01-01,2017-01-31,0.0,0.0,0,0.0,KG,0,0.0,0,0,EUR,,31
18,3,mmpp_12,2017-01-01,2017-01-31,0.0,0.0,0,0.0,KG,"             64.980,00",0.0,0,"             64.980,00",EUR,,31
19,2,mmpp_13,2017-01-01,2017-01-31,0.0,0.0,0,0.0,KG,0,0.0,0,0,EUR,,31
20,3,mmpp_13,2017-01-01,2017-01-31,48099.942,73720.0,"            70.520,351",51299.591,KG,"          2.828.011,61",223732.66,"            116.935,20-","          2.721.214,15",EUR,,31
21,2,mmpp_14,2017-01-01,2017-01-31,0.0,0.0,0,0.0,KG,0,0.0,0,0,EUR,,31
22,2250,mmpp_14,2017-01-01,2017-01-31,154560.0,150580.0,               138.850,166290.0,KG,"            466.464,65",24145.8,"             13.595,57-","            455.914,42",EUR,,31
23,2,mmpp_15,2017-01-01,2017-01-31,25732.0,60420.612,"            48.532,612",37620.0,KG,"            372.108,92",95965.41,"             76.635,57-","            352.779,08",EUR,,31
24,3,mmpp_15,2017-01-01,2017-01-31,376956.9,471620.0,               280.455,568121.9,KG,0,1074146.34,"            810.539,19-",0,EUR,,31
25,3,mmpp_16,2017-01-01,2017-01-31,8904.0,10800.0,                12.422,7282.0,KG,"             60.808,90",3218.16,"              1.943,04-","             59.533,78",EUR,,31
26,2,mmpp_17,2017-01-01,2017-01-31,0.0,0.0,0,0.0,KG,0,0.0,0,0,EUR,,31
27,3,mmpp_17,2017-01-01,2017-01-31,417688.697,885040.0,"           838.498,901",464229.796,KG,"          1.871.198,19",139244.15,"             69.391,97-","          1.801.346,01",EUR,,31
28,2250,mmpp_17,2017-01-01,2017-01-31,48930.0,56135.0,                59.990,45075.0,KG,"             12.526,09",7869.93,"              6.668,10-","             11.324,26",EUR,,31
29,3,mmpp_18,2017-01-01,2017-01-31,2631.0,497.918,"             1.517,918",1611.0,KG,"            153.238,07",7751.56,"             14.453,21-","            159.939,72",EUR,,31
30,2250,mmpp_18,2017-01-01,2017-01-31,0.0,0.0,0,0.0,KG,0,0.0,0,0,EUR,,31
31,2,mmpp_19,2017-01-01,2017-01-31,0.0,0.0,0,0.0,KG,0,0.0,0,0,EUR,,31
32,3,mmpp_19,2017-01-01,2017-01-31,4406.725,4625.49,"             2.205,490",6826.725,KG,"             93.943,05",32347.45,"             10.062,14-","             71.657,74",EUR,,31
33,2250,mmpp_19,2017-01-01,2017-01-31,900.0,7.009,"               187,009",720.0,KG,"              5.764,86",103.67,"                770,06-","              6.431,25",EUR,,31
34,3,mmpp_20,2017-01-01,2017-01-31,2620.0,0.0,                   640,1980.0,KG,"             30.281,98",240.98,"              1.302,11-","             31.343,11",EUR,,31
35,3,mmpp_21,2017-01-01,2017-01-31,0.0,31349.0,                31.349,0.0,KG,"          2.019.571,59",263752.32,"            184.465,08-","          1.940.284,35",EUR,,31
36,3,mmpp_22,2017-01-01,2017-01-31,1650.0,0.0,0,1650.0,KG,"             15.913,88",231.0,"                231,00-","             15.913,88",EUR,,31
37,2,mmpp_23,2017-01-01,2017-01-31,0.0,0.0,0,0.0,KG,0,0.0,0,0,EUR,,31
38,2,mmpp_24,2017-01-01,2017-01-31,125.0,0.0,0,125.0,KG,0,0.0,0,0,EUR,,31
39,3,mmpp_24,2017-01-01,2017-01-31,0.0,0.0,0,0.0,KG,"             18.425,24",0.0,0,"             18.425,24",EUR,,31
40,3,mmpp_25,2017-01-01,2017-01-31,0.0,0.0,0,0.0,KG,"             19.794,39",0.0,0,"             19.794,39",EUR,,31
41,2250,mmpp_25,2017-01-01,2017-01-31,1104.64,0.0,                   390,714.64,KG,"             32.826,53",353.09,"              1.734,96-","             34.208,40",EUR,,31
42,3,mmpp_26,2017-01-01,2017-01-31,2705.0,0.0,0,2705.0,KG,"              4.474,53",485.48,"                485,48-","              4.474,53",EUR,,31
43,2,mmpp_27,2017-01-01,2017-01-31,2271.0,4507.488,"             3.999,488",2779.0,KG,"             67.384,15",10439.56,"              7.829,55-","             64.774,14",EUR,,31
44,2,mmpp_28,2017-01-01,2017-01-31,100.0,0.0,0,100.0,KG,0,399.01,"                399,01-",0,EUR,,31
45,3,mmpp_28,2017-01-01,2017-01-31,9020.0,0.0,0,9020.0,KG,"            324.085,43",4510.0,"              4.510,00-","            324.085,43",EUR,,31
46,3,mmpp_29,2017-01-01,2017-01-31,0.0,0.0,0,0.0,KG,"              2.775,00",0.0,0,"              2.775,00",EUR,,31
47,2,mmpp_30,2017-01-01,2017-01-31,0.0,0.0,0,0.0,KG,"              4.018,40",0.0,0,"              4.018,40",EUR,,31
48,3,mmpp_30,2017-01-01,2017-01-31,80.0,0.0,0,80.0,KG,0,88.8,"                 88,80-",0,EUR,,31
49,2250,mmpp_30,2017-01-01,2017-01-31,4260.0,2004.159,"             1.164,159",5100.0,KG,"            182.103,52",16428.28,"              6.478,23-","            172.153,47",EUR,,31
50,2,mmpp_31,2017-01-01,2017-01-31,5320.0,20520.0,                14.820,11020.0,KG,"            622.870,53",101743.92,"             54.191,70-","            575.318,31",EUR,,31
51,3,mmpp_31,2017-01-01,2017-01-31,2320.0,3.52,"               603,520",1720.0,KG,"            153.761,84",105.49,"              2.291,38-","            155.947,73",EUR,,31
52,2250,mmpp_31,2017-01-01,2017-01-31,700.0,0.0,0,700.0,KG,"             39.243,33",391.66,"                391,66-","             39.243,33",EUR,,31
53,2,mmpp_32,2017-01-01,2017-01-31,4640.0,9444.5,"             9.676,500",4408.0,KG,"            274.266,52",40617.82,"             33.669,62-","            267.318,32",EUR,,31
54,3,mmpp_32,2017-01-01,2017-01-31,0.0,0.0,0,0.0,KG,0,0.0,0,0,EUR,,31
55,9,mmpp_32,2017-01-01,2017-01-31,0.0,0.0,0,0.0,KG,0,0.0,0,0,EUR,,31
56,2250,mmpp_32,2017-01-01,2017-01-31,40.0,0.0,0,40.0,KG,0,312.0,"                312,00-",0,EUR,,31
57,3,mmpp_33,2017-01-01,2017-01-31,2460.0,6807.413,"             1.707,413",7560.0,KG,"            137.106,16",43333.64,"              7.795,11-","            101.567,63",EUR,,31
58,2,mmpp_34,2017-01-01,2017-01-31,0.0,0.0,0,0.0,KG,0,0.0,0,0,EUR,,31
59,3,mmpp_34,2017-01-01,2017-01-31,2375.0,0.0,                   650,1725.0,KG,"             26.848,00",95.0,"              2.097,01-","             28.850,01",EUR,,31
60,3,mmpp_35,2017-01-01,2017-01-31,4900.0,0.0,0,4900.0,KG,0,243.21,"                243,21-",0,EUR,,31
61,3,mmpp_36,2017-01-01,2017-01-31,12296.0,0.0,0,12296.0,KG,"              3.123,70",941.17,"                941,17-","              3.123,70",EUR,,31
62,2,mmpp_37,2017-01-01,2017-01-31,7630.0,7630.0,                 7.630,7630.0,KG,0,14379.51,"             14.379,52-",0,EUR,,31
