,id_mmpp,Consumo_diario,Plazo de entrega,Stock de seguridad,punto_pedido
544,2_mmpp_501,156.9828322481542,30.0,3000.0,7709.484967444626
545,2_mmpp_502,55.81382251127298,25.0,6000.0,7395.345562781825
546,2_mmpp_504,3323.459471824984,7.0,15000.0,38264.21630277489
547,2_mmpp_508,172.5120569892473,12.0,4000.0,6070.144683870967
548,2_mmpp_509,3.6924325355532432,15.0,500.0,555.3864880332986
549,2_mmpp_510,2.009843357613597,20.0,1800.0,1840.196867152272
550,2_mmpp_511,8.226173133145037,20.0,0.0,164.52346266290076
551,2_mmpp_512,41.4588933353154,20.0,800.0,1629.1778667063081
552,2_mmpp_514,456.2532374238145,30.0,4000.0,17687.597122714433
553,2_mmpp_515,1.6150042118824637,20.0,75.0,107.30008423764927
554,2_mmpp_52,945.456849026312,21.0,15000.0,34854.593829552556
555,2_mmpp_53,355.0293678113077,35.0,6000.0,18426.027873395768
556,2_mmpp_55,8.208458451018284,20.0,0.0,164.1691690203657
557,2_mmpp_56,1166.7400387022446,35.0,15000.0,55835.901354578564
558,2_mmpp_58,355.09278529309745,60.0,8000.0,29305.567117585848
559,2_mmpp_59,0.8774193548387097,25.0,0.0,21.935483870967744
560,2_mmpp_6,317.7082927010555,30.0,10000.0,19531.248781031667
561,2_mmpp_60,1.9566423864030529,25.0,0.0,48.91605966007632
562,2_mmpp_7,130437.46954115752,4.0,175000.0,696749.8781646302
563,2_mmpp_70,11.720253473564243,20.0,200.0,434.40506947128483
564,2_mmpp_71,484.4472283558793,20.0,6000.0,15688.944567117585
565,2_mmpp_72,74.04442847480304,20.0,350.0,1830.8885694960609
566,2_mmpp_73,677.6018675313414,25.0,4000.0,20940.046688283535
567,2_mmpp_74,118.18185790099598,20.0,1200.0,3563.6371580199198
568,2_mmpp_75,798.2688967345523,45.0,20000.0,55922.100353054855
569,2_mmpp_76,82.60848607601208,21.0,6000.0,7734.778207596254
570,2_mmpp_77,340.16512377979285,90.0,20000.0,50614.861140181354
571,2_mmpp_79,3.984752985481393,20.0,150.0,229.69505970962786
572,2_mmpp_82,10.420215380803723,20.0,300.0,508.40430761607445
573,2_mmpp_83,67.04302326445666,27.0,1500.0,3310.16162814033
574,2_mmpp_84,65.88050450919181,15.0,2000.0,2988.207567637877
575,2_mmpp_88,387.94693323423024,17.0,50000.0,56595.097864981915
576,2_mmpp_89,62.59657346018532,42.0,1000.0,3629.0560853277834
577,2_mmpp_92,1.4501817798919776,8.0,100.0,111.60145423913582
578,2_mmpp_94,15.862454585996728,28.0,500.0,944.1487284079084
579,2_mmpp_96,210.3121582701551,30.0,5000.0,11309.364748104654
580,2_mmpp_97,415.0431239532233,30.0,9000.0,21451.2937185967
581,2_mmpp_99,131.94720686289082,10.0,1300.0,2619.4720686289083
582,3_mmpp_1,0.4374064714335265,10.0,0.0,4.374064714335265
583,3_mmpp_100,9450.28318901442,15.0,110000.0,251754.24783521632
584,3_mmpp_103,23008.39874428175,15.0,140000.0,485125.98116422625
585,3_mmpp_104,53.741372095039885,45.0,2000.0,4418.361744276795
586,3_mmpp_105,113.3640354789158,10.0,0.0,1133.640354789158
587,3_mmpp_107,1705.2441918537238,5.0,1.0,8527.22095926862
588,3_mmpp_108,96.6418332813042,14.0,5000.0,6352.9856659382585
589,3_mmpp_109,45.89323495614687,45.0,3000.0,5065.195573026609
590,3_mmpp_112,1.088920603537981,10.0,0.0,10.88920603537981
591,3_mmpp_113,131.84966352757544,90.0,6000.0,17866.469717481792
592,3_mmpp_114,0.3537981269510926,60.0,0.0,21.227887617065555
593,3_mmpp_115,1.5775650364203957,42.0,500.0,566.2577315296567
594,3_mmpp_117,8007.329773626183,5.0,1.0,40037.64886813091
595,3_mmpp_118,10.193548387096774,20.0,0.0,203.8709677419355
596,3_mmpp_119,0.1300728407908428,4.0,0.0,0.5202913631633712
