id_mmpp,Plazo de entrega,Stock de seguridad
2250_mmpp_403,15,0.0
2250_mmpp_408,20,0.0
2250_mmpp_409,20,0.0
2250_mmpp_410,15,0.0
2250_mmpp_442,12,0.0
2250_mmpp_45,35,200.0
2250_mmpp_459,15,0.0
2250_mmpp_460,15,0.0
2250_mmpp_461,15,0.0
2250_mmpp_464,15,0.0
2250_mmpp_475,28,0.0
2250_mmpp_48,15,0.0
2250_mmpp_489,15,0.0
2250_mmpp_490,15,0.0
2250_mmpp_492,5,1600.0
2250_mmpp_505,3,0.0
2250_mmpp_51,15,100.0
2250_mmpp_512,15,3000.0
2250_mmpp_516,3,0.0
2250_mmpp_57,5,22000.0
2250_mmpp_70,14,400.0
2250_mmpp_72,20,5000.0
2250_mmpp_74,20,1000.0
2250_mmpp_83,20,2200.0
2250_mmpp_85,25,6000.0
2250_mmpp_88,10,0.0
2250_mmpp_99,15,0.0
28_mmpp_10,15,0.0
28_mmpp_115,42,0.0
28_mmpp_119,10,0.0
28_mmpp_120,4,0.0
28_mmpp_123,15,0.0
28_mmpp_127,2,0.0
28_mmpp_135,25,0.0
28_mmpp_137,0,0.0
28_mmpp_138,20,0.0
28_mmpp_140,0,0.0
28_mmpp_142,4,0.0
28_mmpp_175,15,0.0
28_mmpp_177,15,0.0
28_mmpp_181,10,0.0
28_mmpp_186,7,0.0
28_mmpp_19,12,0.0
28_mmpp_190,4,0.0
28_mmpp_20,15,0.0
28_mmpp_208,15,0.0
28_mmpp_272,15,0.0
28_mmpp_31,42,0.0
28_mmpp_44,10,0.0
28_mmpp_45,20,0.0
28_mmpp_503,30,0.0
28_mmpp_508,10,0.0
28_mmpp_51,14,0.0
28_mmpp_518,35,10000.0
28_mmpp_85,56,0.0
28_mmpp_95,21,0.0
28_mmpp_98,1,0.0
29_mmpp_145,0,0.0
29_mmpp_146,42,0.0
29_mmpp_148,20,1.0
29_mmpp_384,35,6000.0
29_mmpp_505,10,80000.0
2_mmpp_10,20,12000.0
2_mmpp_100,8,60000.0
2_mmpp_101,12,2800.0
2_mmpp_102,7,235000.0
2_mmpp_103,13,60000.0
2_mmpp_104,45,3000.0
2_mmpp_106,10,6000.0
2_mmpp_107,10,0.0
2_mmpp_11,7,600.0
2_mmpp_110,15,600.0
2_mmpp_112,12,200.0
2_mmpp_113,15,0.0
2_mmpp_114,60,2450.0
2_mmpp_115,42,2100.0
2_mmpp_116,10,0.0
2_mmpp_117,5,75000.0
2_mmpp_118,16,40000.0
2_mmpp_12,10,8000.0
